epoch,train_loss,val_loss,val_accuracy
1,1.7879102572335137,1.5511284811019896,0.4462
2,1.5738536315706042,1.4540502574920655,0.4888
3,1.4824857430352105,1.4057096876144408,0.5008
4,1.4273512279934353,1.3476501873016358,0.5214
5,1.3761668418884276,1.3206934778213502,0.5438
6,1.3312303250842625,1.3234712085723876,0.5212
7,1.2950095411088731,1.2954161561965942,0.5424
8,1.2599175906287299,1.2850492546081542,0.538
9,1.2311496762699552,1.2721276229858398,0.5488
10,1.1915944684346518,1.2721291133880614,0.5584
11,1.1710308526145088,1.2497269176483154,0.5574
12,1.1390104396184286,1.2548051929473878,0.5592
13,1.1112899806340535,1.2479594495773316,0.566
14,1.083006869676378,1.2498488967895507,0.5598
15,1.0624682377709282,1.2583531688690186,0.5698
16,1.0408696949217056,1.2402812496185303,0.5746
17,1.0139599875132244,1.2364759536743164,0.5764
18,0.9959120527055528,1.2562313079833984,0.5654
19,0.9714624669816759,1.2451918842315675,0.569
20,0.9563596906026205,1.2732857769012451,0.5668
21,0.9321556726985507,1.2515375116348266,0.57
22,0.9081537246916029,1.2493209226608277,0.576
23,0.8943811789194743,1.2500534214019776,0.58
24,0.87656377336714,1.2957323078155518,0.572
